Issue Id,Parent Id,Issue Type,Summary,Epic Name,Description,Priority,Story Points,Fix Version/s,Labels,Labels,Labels,Labels
1,,Epic,Intake Form,Intake Form,"Business users can submit a complete, validated feature request in under 5 minutes.",High,,MVP,feature-intake,,,
2,,Epic,Triage Board,Triage Board,"Product triage can review, prioritise, route and track every request in one place.",High,,MVP,feature-intake,,,
3,,Epic,"Platform, API & Scoring","Platform, API & Scoring","REST API, persistence, priority scoring and baseline security for the intake service.",High,,MVP,feature-intake,,,
4,,Epic,Quality & Operations,Quality & Operations,"Automated tests, CI, deployment and monitoring so the service can run in production.",High,,MVP,feature-intake,,,
5,,Epic,Integrations & Notifications,Integrations & Notifications,"SSO, Jira sync, email/Teams notifications and a requester self-service view.",High,,Phase 2,feature-intake,,,
6,,Epic,AI Concept Mocks,AI Concept Mocks,Every submission gets an AI-generated concept mock UI that the requester and triage can see and refine.,High,,MVP,feature-intake,,,
100,1,Story,Multi-step intake wizard,,"h4. User story
As a business user I want the form split into short steps so that I am not overwhelmed and can see my progress.

h4. Acceptance criteria
* Given I open the intake page, then I see 4 steps: About you, The request, Impact & urgency, Review
* Given I am on a step with missing required fields, when I click Continue, then I stay on the step and see errors
* Given I am on step 2 or later, when I click Back, then my entered values are preserved
* The stepper shows the current step (aria-current=""step"") and completed steps

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,5,MVP,feature-intake,frontend,intake,
101,1,Story,Client-side validation with accessible error summary,,"h4. User story
As a business user I want clear, specific error messages so that I can fix problems quickly.

h4. Acceptance criteria
* Validation rules are shared with the server (single rules module)
* An error summary lists every problem with links to the fields and receives focus
* Each invalid field has aria-invalid and aria-describedby pointing to its message
* Errors re-validate on blur and as I type after a field has been touched

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",High,3,MVP,feature-intake,frontend,intake,a11y
102,1,Story,Autosave draft on the device,,"h4. User story
As a business user I want my draft saved automatically so that I do not lose work if I close the tab.

h4. Acceptance criteria
* Form values are saved to localStorage 400ms after the last change
* Reopening the page restores the draft and shows ""Restored your draft""
* The draft is cleared after a successful submission
* If storage is unavailable the form still works

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,frontend,intake,
103,1,Story,Conditional fields for Critical urgency,,"h4. User story
As a triage lead I want Critical requests to include a justification and date so that urgency claims can be verified.

h4. Acceptance criteria
* When urgency is Critical, a ""Why is this critical?"" field appears and is required (min 10 chars)
* When urgency is Critical, target date becomes required
* The server enforces the same rule (422 with field errors)

h4. Definition of done
* Code reviewed and merged
* Tests added/updated and passing
* Docs updated if behaviour changed",Medium,2,MVP,feature-intake,frontend,intake,rules
